Country or Area,Subgroup,Year,Source,Unit,Proportion of 1 year-old children fully immunised against polio (OPV),Proportion of 1 year-old children fully immunised against polio (OPV) Footnotes
Afghanistan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,66.0,
Albania,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Algeria,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,
Andorra,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Angola,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,85.0,
Antigua and Barbuda,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Argentina,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,
Armenia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,
Australia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,92.0,
Austria,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,83.0,
Azerbaijan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,80.0,
Bahamas,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,97.0,
Bahrain,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Bangladesh,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,
Barbados,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,91.0,
Belarus,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Belgium,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Belize,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,
Benin,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,85.0,
Bhutan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,
Bolivia (Plurinational State of),Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,82.0,
Bosnia and Herzegovina,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,89.0,
Botswana,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,
Brazil,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,97.0,
Brunei Darussalam,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Bulgaria,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,
Burkina Faso,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,
Burundi,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,94.0,
Cambodia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,94.0,
Cameroon,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,67.0,
Canada,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Cape Verde,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,
CEE/CIS,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,93.0,1.0
Central African Republic,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,47.0,
Chad,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,31.0,
Chile,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,93.0,
China,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Colombia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,85.0,
Comoros,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,85.0,
Congo,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,
Cook Islands,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,93.0,
Costa Rica,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,82.0,
Côte d'Ivoire,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,58.0,
Croatia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,
Cuba,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Cyprus,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Czech Republic,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Democratic People's Republic of Korea,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Democratic Republic of the Congo,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,78.0,
Denmark,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,91.0,
Djibouti,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,87.0,
Dominica,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Dominican Republic,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,84.0,
East Asia and Pacific,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,92.0,1.0
Eastern and Southern Africa,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,79.0,1.0
Ecuador,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Egypt,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,
El Salvador,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,89.0,
Equatorial Guinea,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,39.0,
Eritrea,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Estonia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,93.0,
Ethiopia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,62.0,
Fiji,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Finland,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
France,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Gabon,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,44.0,
Gambia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,
Georgia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,
Germany,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,
Ghana,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,91.0,
Greece,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
